Cz,Pt,Sb,Nd,Pon,Wt,Sr
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
10357,5743,4169,0,0,33,4276
11202,5670,1818,135,642,2983,5614
9636,17826,9180,11497,6586,269,7169
5518,5338,8776,4323,0,1861,1541
5720,1126,0,6514,1354,3155,6753
2073,742,4436,5022,5978,4996,2361
1172,903,996,1392,2364,2736,460
1135,729,902,33,614,0,1695
1150,930,3227,302,133,8482,0
3630,17008,12839,4114,0,5163,4514
12569,2077,1278,5597,2419,5945,976
4473,5746,8653,0,6615,3129,8120
3811,0,5401,6086,4819,7051,4372
5396,15754,1052,8431,7759,11929,12711
4455,9509,5712,6024,5413,5877,8171
3357,910,2298,1935,6810,6773,7993
9783,6235,4766,2314,7744,5462,6061
220,273,142,5943,13067,6163,6752
6522,6007,7225,9423,6768,9181,7141
12952,10548,2845,5758,7524,5699,7566
6278,5951,1598,2232,7378,9092,8709
5872,16287,8605,1521,8448,9434,9844
5094,12844,5788,9684,5725,5147,4344
10122,6178,13771,9820,NA,NA,NA
NA,NA,NA,427,3808,6016,7003
6371,7977,4825,5226,3985,4525,6636
6914,5712,6763,1945,8153,5200,8414
7235,9498,1241,3358,2779,4519,5038
4317,1263,897,2294,11098,6601,6640
6205,3894,3011,979,7281,5986,9914
5978,6632,315,3754,7051,0,5337
4635,4997,6842,3437,2645,3333,4626
6126,3199,443,2751,3252,2067,6055
5532,4656,0,0,4060,3449,560
487,3521,6897,7284,4025,6980,2223
4538,5590,2129,1486,7846,7489,9273
5424,4858,2077,0,4606,6326,7791
5520,4397,340,2278,5870,7347,3487
4289,4450,3724,5129,7133,7182,6555
4605,5141,233,105,0,3043,1489
5806,5668,1692,303,4797,8622,4475
5785,6174,2142,1114,7562,2572,6053
2707,13217,4523,1836,1017,3569,1634
3035,4826,1819,2802,9836,7678,5148
4696,5201,664,1243,5171,5404,5198
5587,6017,9641,3669,5222,NA,NA
NA,NA,NA,NA,NA,0,1869
